id,recipe,kind,target,scope,n,mae,persistence_mae,skill,gain_over_best_member
r166,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Change regression,equal,gdp,endpoint,97,8.933834814068664,15.629918353270504,0.428414492504416,-0.20590238432798635
r166,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Change regression,equal,gdp,pooled,691,6.209627023640503,8.64998160201729,0.2821225166314416,0.2340316858183602
r167,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Original model,equal,ladder,endpoint,97,0.36453912422926305,0.38900000000000007,0.06288142871654756,-0.013220579423044887
r167,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Original model,equal,ladder,pooled,681,0.26664506293302825,0.289743906020558,0.07972158381094929,0.005476865194580183
r167,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Original model,equal,gdp,endpoint,97,9.942567890169274,15.629918353270504,0.36387589074713067,-1.214635460428596
r167,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Original model,equal,gdp,pooled,691,6.650129986384536,8.64998160201729,0.23119721031156437,-0.20647127692567224
r168,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Stay at 2018,equal,ladder,endpoint,97,0.3703669444322746,0.38900000000000007,0.04789988577821458,-0.019048399626056423
r168,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Stay at 2018,equal,ladder,pooled,681,0.27992064961702406,0.289743906020558,0.033903237305142664,-0.007798721489415628
r168,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Stay at 2018,equal,gdp,endpoint,97,10.723010837274847,15.629918353270504,0.31394325965681735,-1.9950784075341694
r168,25% Country offsets + 25% Retained offsets + 25% Conservative mix + 25% Stay at 2018,equal,gdp,pooled,691,6.653136433767496,8.64998160201729,0.23084964340087188,-0.20947772430863232
r169,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Change regression,equal,ladder,endpoint,97,0.3681222032349971,0.38900000000000007,0.05367042870180705,-0.016803658428778956
r169,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Change regression,equal,ladder,pooled,681,0.27804449437025847,0.289743906020558,0.04037845630986081,-0.005922566242650029
r169,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Change regression,equal,gdp,endpoint,97,9.329223448984154,15.629918353270504,0.40311758269472675,-0.6012910192434759
r169,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Change regression,equal,gdp,pooled,691,6.760347828314621,8.64998160201729,0.2184552361662806,-0.31668911885575746
r170,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Original model,equal,ladder,endpoint,97,0.36220582500442144,0.38900000000000007,0.06887962723799135,-0.010887280198203286
r170,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Original model,equal,ladder,pooled,681,0.2640482030859565,0.289743906020558,0.08868418765907826,0.008073725041651936
r170,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Original model,equal,gdp,endpoint,97,9.649472344146012,15.629918353270504,0.3826281029723425,-0.9215399144053347
r170,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Original model,equal,gdp,pooled,691,6.883790004578385,8.64998160201729,0.20418443399081976,-0.44013129511952176
r171,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Stay at 2018,equal,ladder,endpoint,97,0.3680700393986128,0.38900000000000007,0.053804525967576455,-0.016751494592394667
r171,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Stay at 2018,equal,ladder,pooled,681,0.2780486212811665,0.289743906020558,0.04036421300457549,-0.005926693153558038
r171,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Stay at 2018,equal,gdp,endpoint,97,9.285881777573321,15.629918353270504,0.405890576796885,-0.5579493478326434
r171,25% Country offsets + 25% Retained offsets + 25% Damped trends + 25% Stay at 2018,equal,gdp,pooled,691,6.331669788821595,8.64998160201729,0.268013496428135,0.11198892063726795
r172,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Original model,equal,ladder,endpoint,97,0.3667116672445931,0.38900000000000007,0.05729648523240871,-0.015393122438374929
r172,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Original model,equal,ladder,pooled,681,0.26890674205562903,0.289743906020558,0.07191579712965734,0.0032151860719794034
r172,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Original model,equal,gdp,endpoint,97,9.544829867464616,15.629918353270504,0.3893231140604523,-0.816897437723938
r172,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Original model,equal,gdp,pooled,691,6.830922802154678,8.64998160201729,0.2102962622993768,-0.38726409269581463
r173,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Stay at 2018,equal,ladder,endpoint,97,0.3720297544477316,0.38900000000000007,0.04362530990300373,-0.02071120964151346
r173,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Stay at 2018,equal,ladder,pooled,681,0.2818915355189885,0.289743906020558,0.027101072148217553,-0.009769607391380053
r173,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Stay at 2018,equal,gdp,endpoint,97,9.067781156709952,15.629918353270504,0.4198446241523359,-0.33984872696927404
r173,25% Country offsets + 25% Retained offsets + 25% Change regression + 25% Stay at 2018,equal,gdp,pooled,691,6.227366462028433,8.64998160201729,0.28007171014373844,0.21629224743043007
r174,25% Country offsets + 25% Retained offsets + 25% Original model + 25% Stay at 2018,equal,ladder,endpoint,97,0.3667644366538287,0.38900000000000007,0.05716083122409099,-0.015445891847610527
r174,25% Country offsets + 25% Retained offsets + 25% Original model + 25% Stay at 2018,equal,ladder,pooled,681,0.2689453437399452,0.289743906020558,0.07178257022301993,0.003176584387663217
r174,25% Country offsets + 25% Retained offsets + 25% Original model + 25% Stay at 2018,equal,gdp,endpoint,97,10.167966081141936,15.629918353270504,0.3494549458721692,-1.440033651401258
r174,25% Country offsets + 25% Retained offsets + 25% Original model + 25% Stay at 2018,equal,gdp,pooled,691,6.7277762419983755,8.64998160201729,0.22222074548350834,-0.2841175325395122
r175,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Change regression,equal,ladder,endpoint,97,0.3718185741905858,0.38900000000000007,0.04416818974142489,-0.020500029384367624
r175,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Change regression,equal,ladder,pooled,681,0.279247773878758,0.289743906020558,0.036225549265064716,-0.007125845751149551
r175,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Change regression,equal,gdp,endpoint,97,8.56862476690854,15.629918353270504,0.451780580471453,0.1593076628321377
r175,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Change regression,equal,gdp,pooled,691,6.08539536419398,8.64998160201729,0.29648458873313843,0.35826334526488335
r176,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Original model,equal,ladder,endpoint,97,0.3665941140869548,0.38900000000000007,0.05759867843970501,-0.015275569280736645
r176,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Original model,equal,ladder,pooled,681,0.2649731209156563,0.289743906020558,0.08549199686410025,0.007148807211952157
r176,25% Country offsets + 25% Conservative mix + 25% Damped trends + 25% Original model,equal,gdp,endpoint,97,9.144988716438318,15.629918353270504,0.41490489523096186,-0.4170562866976404
